direction.it,direction.medicine,direction.education,direction.business,direction.creative,direction.engineering,thinkingStyle.analytic,thinkingStyle.creative,thinkingStyle.practical,temperament.introvert,temperament.extrovert,studyProfile.stem,studyProfile.humanities,values.stability,values.income,values.helping,values.freedom,anti.it,anti.medicine,anti.education,anti.business,anti.creative,anti.engineering,target_direction
8,1,1,2,3,7,8,3,6,7,3,8,2,4,6,2,5,0,1,0,0,0,0,it
1,9,3,1,1,2,6,2,5,4,6,7,3,5,4,9,2,1,0,0,0,0,0,medicine
2,3,9,2,2,1,5,5,4,3,7,3,8,6,3,8,4,0,0,0,0,0,0,education
3,1,2,9,2,3,6,3,5,4,6,5,5,5,8,2,5,0,0,1,0,0,0,business
2,1,2,2,9,2,3,9,3,5,5,2,7,3,3,4,9,0,0,0,0,0,0,creative
4,2,1,3,2,9,8,2,8,6,4,9,1,5,6,2,4,0,0,0,0,0,0,engineering
7,2,1,3,2,8,9,2,7,8,2,9,1,4,5,2,4,0,0,0,0,0,0,it
1,8,4,1,1,2,5,2,5,3,7,6,4,6,3,9,2,0,0,0,0,0,0,medicine
2,4,8,2,3,1,4,6,4,2,8,3,9,6,3,8,4,0,0,0,0,0,0,education
3,1,1,8,3,4,6,4,5,4,6,4,4,5,9,2,6,0,0,0,0,0,0,business
2,1,2,2,8,2,3,8,4,5,5,2,8,3,4,5,8,0,0,0,0,0,0,creative
5,2,1,3,2,8,8,2,9,6,4,9,1,5,5,2,4,0,0,0,0,0,0,engineering
